Link,University Name,Nickname,Founded,Location,Division,Specialization,Ph.d Granting,Type
http://www.barisaluniv.edu.bd,University of Bar,BU,2011,Barisal,Barisal division,General,Yes,Public
https://www.rub.ac.bd,Rabindra University,RUB,2017,Sirajganj,Rajshahi division,General,Yes,Public
http://shu.edu.bd/,Sheikh Hasina University,SHU,2018,Netrokona,Mymensingh division,General,Yes,Public
No Link,Bangabandhu Sheikh Mujibur Rahman University,BSMRU,2020,Kishoreganj,Dhaka division,General,Yes,Public
http://bsmmu.edu.bd,Bangabandhu Sheikh Mujib Medical University,BSMMU,1998,Dhaka,Dhaka division,Medical,No,Public
http://Website,Rajshahi Medical University,RMU,2017,Rajshahi,Rajshahi division,Medical,No,Public
https://cmu.edu.bd,Chittagong Medical University,CMU,2017,Chittagong,Chittagong division,Medical,No,Public
No Link,Sylhet Medical University,CMU,2018,Sylhet,Sylhet division,Medical,No,Public
http://Website,Sheikh Hasina Medical University,SHMU,2020,Khulna,Khulna division,Medical,No,Public
http://www.sust.edu,Shahjalal University of Science and Technology,SUST,1986,Sylhet,Sylhet division,STEM,Yes,Public
http://hstu.ac.bd,Hajee Mohammad Danesh Science & Technology University,HSTU,1999,Dinajpur,Rangpur division,STEM,Yes,Public
http://mbstu.ac.bd,Mawlana Bhashani Science and Technology University,MBSTU,1999,Tangail,Dhaka division,STEM,Yes,Public
http://pstu.ac.bd,Patuakhali Science and Technology University,PSTU,2000,Patuakhali,Barisal division,STEM,Yes,Public
http://nstu.edu.bd,Noakhali Science and Technology University,NSTU,2006,Noakhali,Chittagong division,STEM,Yes,Public
http://just.edu.bd,Jashore University of Science and Technology,JUST,2007,Jessore,Khulna division,STEM,Yes,Public
http://www.pust.ac.bd/,Pabna University of Science and Technology,PUST,2008,Pabna,Rajshahi division,STEM,Yes,Public
http:///www.bsmrstu.edu.bd,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,BSMRSTU,2011,Gopalganj,Dhaka division,STEM,Yes,Public
http://rmstu.edu.bd,Rangamati Science and Technology University,RMSTU,2014,Rangamati,Chittagong division,STEM,Yes,Public
http://bsfmstu.ac.bd//,Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,BSFMSTU,2018,Jamalpur,Mymensingh division,STEM,Yes,Public
No Link,Chandpur Science and Technology University,CSTU,2020,Chandpur,Chittagong division,STEM,Yes,Public
https://en.m.wikipedia.org/wiki/Sunamganj_Science_and_Technology_University,Sunamganj Science and Technology University,SSTU,2020,Sunamganj,Sylhet division,STEM,Yes,Public
No Link,Bogura Science and Technology University,BSTU,2020,Bogura,Rajshahi division,STEM,Yes,Public
No Link,Lakshmipur Science and Technology University,LSTU,2020,Lakshmipur,Chittagong division,STEM,Yes,Public
https://en.m.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Digital_University,Bangabandhu Sheikh Mujibur Rahman Digital University,BDU,2018,Gazipur,Dhaka division,STEM,Yes,Public
http://butex.edu.bd,Bangladesh University of Textiles,BUTEX,2010,Dhaka,Dhaka division,Textile Engineering,Yes,Public
http://bsmrmu.edu.bd,Bangabandhu Sheikh Mujibur Rahman Maritime University,BSMRMU,2013,Chittagong,Chittagong   division,Maritime,Yes,Public
http://bsmraau.edu.bd,Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,BSMRAAU,2019,Lalmonirhat,Rangpur division,Aeronautical Science,Yes,Public
http://bou.edu.bd,Bangladesh Open University,BOU,1992,Gazipur,Dhaka division,General,No,Private
http://www.nu.ac.bd,National University of Bangladesh,NU,1992,Gazipur,Dhaka division,General,Yes,Private
https://en.m.wikipedia.org/wiki/Islamic_Arabic_University,Islamic Arabic University,IAB,2013,Dhaka,Dhaka division,Islamic,No,Private
http://iubat.edu,International University of Business Agriculture and Technology,IUBAT,1991,Dhaka,Dhaka Division,General,No,Private
http://www.northsouth.edu,North South University,NSU,1992,Dhaka,Dhaka Division,General,No,Private
http://ustc.ac.bd,University of Science & Technology Chittagong,USTC,1992,Chittagong,Chittagong Division,Science and technology,No,Private
http://www.cwu.edu.bd,Central Women's University,CWU,1993,Dhaka,Dhaka Division,Women's studies,No,Private
http://www.iub.edu.bd,Independent University,IUB,1993,Dhaka,Dhaka Division,General,No,Private
http://aiub.edu,American International University-Bangladesh,AIUB,1994,Dhaka,Dhaka Division,General,No,Private
http://www.aust.edu,Ahsanullah University of Science and Technology,AUST,1995,Dhaka,Dhaka Division,Engineering,No,Private
